Trial_ID,Word_ID,Fixation_Start,Fixation_End,Word_Frequency,Word_Length,Saccade_Direction
1,3,287.60,431.96,5.44,6,refixation
1,4,118.04,226.60,9.31,6,forward
1,6,222.95,327.51,4.43,8,refixation
1,8,176.50,402.00,1.98,3,refixation
1,10,305.89,511.70,8.21,8,forward
1,9,323.05,542.53,8.86,8,refixation
2,9,453.50,638.06,4.49,7,forward
2,10,231.61,366.59,7.87,5,refixation
1,7,60.44,198.73,1.51,8,refixation
2,7,428.28,715.70,9.65,4,regression
3,7,301.29,451.86,2.74,6,refixation
2,8,444.95,639.46,4.57,5,regression
3,8,72.89,358.58,9.91,6,regression
2,3,348.28,500.99,6.25,4,regression
1,5,255.80,554.58,6.42,4,refixation
4,7,161.02,309.68,6.82,4,regression
4,8,170.23,385.03,8.76,5,regression
5,7,164.53,502.70,4.87,5,regression
3,9,430.90,602.22,4.61,8,forward
1,7,301.29,451.86,1.51,8,refixation
3,7,161.02,309.68,2.74,6,refixation
2,7,164.53,502.70,9.65,4,regression
5,7,430.90,602.22,4.87,5,regression
4,7,226.63,475.14,6.82,4,regression
2,7,344.85,510.10,9.65,4,regression
2,5,115.95,206.05,2.16,6,forward
4,5,320.44,537.91,6.38,6,regression
5,6,125.38,394.19,4.1,5,regression
5,4,85.39,363.25,8.84,7,forward
5,3,397.35,667.98,4.92,3,refixation
4,4,281.46,528.81,3.22,8,regression
1,2,360.64,563.01,4.22,3,refixation
2,2,142.87,324.93,4.92,6,regression
5,2,238.34,433.34,2.63,4,forward
2,4,302.81,561.71,3.87,3,regression
1,3,287.60,431.96,5.44,6,refixation
3,4,59.09,209.25,6.49,8,regression
4,2,461.52,686.89,3.41,8,refixation
4,3,182.91,305.44,9.26,6,forward
5,1,394.03,539.46,4.87,7,refixation
